date,datatype,station,attributes,value
2020-05-01T00:00:00,PRCP,GHCND:AE000041196,"D,,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AE000041196,"H,,S,",35.2
2020-05-01T00:00:00,TMAX,GHCND:AE000041196,",,S,",42.1
2020-05-01T00:00:00,TMIN,GHCND:AE000041196,",,S,",30.0
2020-05-01T00:00:00,PRCP,GHCND:AEM00041194,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AEM00041194,"H,,S,",35.7
2020-05-01T00:00:00,TMIN,GHCND:AEM00041194,",,S,",30.7
2020-05-01T00:00:00,TAVG,GHCND:AEM00041217,"H,,S,",35.4
2020-05-01T00:00:00,TMAX,GHCND:AEM00041217,",,S,",41.3
2020-05-01T00:00:00,TAVG,GHCND:AEM00041218,"H,,S,",34.3
2020-05-01T00:00:00,TMAX,GHCND:AEM00041218,",,S,",40.7
2020-05-01T00:00:00,PRCP,GHCND:AFM00040938,"B,,S,",18.0
2020-05-01T00:00:00,TAVG,GHCND:AFM00040938,"H,,S,",21.8
2020-05-01T00:00:00,TAVG,GHCND:AFM00040948,"H,,S,",15.8
2020-05-01T00:00:00,PRCP,GHCND:AFM00040990,"B,,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AFM00040990,"H,,S,",24.7
2020-05-01T00:00:00,TMAX,GHCND:AFM00040990,",,S,",30.8
2020-05-01T00:00:00,TMIN,GHCND:AFM00040990,",,S,",17.5
2020-05-01T00:00:00,TAVG,GHCND:AG000060390,"H,,S,",18.6
2020-05-01T00:00:00,TMIN,GHCND:AG000060390,",,S,",10.0
2020-05-01T00:00:00,TAVG,GHCND:AG000060590,"H,,S,",27.1
2020-05-01T00:00:00,TMIN,GHCND:AG000060590,",,S,",17.8
2020-05-01T00:00:00,TAVG,GHCND:AG000060611,"H,,S,",26.0
2020-05-01T00:00:00,TMIN,GHCND:AG000060611,",,S,",18.6
2020-05-01T00:00:00,PRCP,GHCND:AGE00147708,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGE00147708,"H,,S,",20.4
2020-05-01T00:00:00,TMIN,GHCND:AGE00147708,",,S,",11.4
2020-05-01T00:00:00,PRCP,GHCND:AGE00147716,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGE00147716,"H,,S,",20.2
2020-05-01T00:00:00,TMIN,GHCND:AGE00147716,",,S,",14.4
2020-05-01T00:00:00,TAVG,GHCND:AGE00147718,"H,,S,",26.1
2020-05-01T00:00:00,TMIN,GHCND:AGE00147718,",,S,",18.9
2020-05-01T00:00:00,PRCP,GHCND:AGE00147719,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGE00147719,"H,,S,",22.6
2020-05-01T00:00:00,TMAX,GHCND:AGE00147719,",,S,",30.6
2020-05-01T00:00:00,PRCP,GHCND:AGM00060351,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060351,"H,,S,",18.6
2020-05-01T00:00:00,TMIN,GHCND:AGM00060351,",,S,",11.7
2020-05-01T00:00:00,PRCP,GHCND:AGM00060355,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060355,"H,,S,",21.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060355,",,S,",13.8
2020-05-01T00:00:00,PRCP,GHCND:AGM00060360,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060360,"H,,S,",18.6
2020-05-01T00:00:00,TMIN,GHCND:AGM00060360,",,S,",11.5
2020-05-01T00:00:00,TAVG,GHCND:AGM00060369,"H,,S,",22.2
2020-05-01T00:00:00,TMIN,GHCND:AGM00060369,",,S,",17.1
2020-05-01T00:00:00,PRCP,GHCND:AGM00060402,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060402,"H,,S,",17.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060402,",,S,",11.7
2020-05-01T00:00:00,TAVG,GHCND:AGM00060403,"H,,S,",21.5
2020-05-01T00:00:00,TMIN,GHCND:AGM00060403,",,S,",8.8
2020-05-01T00:00:00,TAVG,GHCND:AGM00060419,"H,,S,",16.0
2020-05-01T00:00:00,TMIN,GHCND:AGM00060419,",,S,",7.6
2020-05-01T00:00:00,PRCP,GHCND:AGM00060421,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060421,"H,,S,",19.1
2020-05-01T00:00:00,TMIN,GHCND:AGM00060421,",,S,",6.5
2020-05-01T00:00:00,PRCP,GHCND:AGM00060425,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060425,"H,,S,",20.2
2020-05-01T00:00:00,TMIN,GHCND:AGM00060425,",,S,",12.9
2020-05-01T00:00:00,PRCP,GHCND:AGM00060437,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060437,"H,,S,",15.9
2020-05-01T00:00:00,TMIN,GHCND:AGM00060437,",,S,",9.9
2020-05-01T00:00:00,PRCP,GHCND:AGM00060444,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060444,"H,,S,",20.7
2020-05-01T00:00:00,TMIN,GHCND:AGM00060444,",,S,",10.7
2020-05-01T00:00:00,TAVG,GHCND:AGM00060445,"H,,S,",16.2
2020-05-01T00:00:00,TMIN,GHCND:AGM00060445,",,S,",8.4
2020-05-01T00:00:00,PRCP,GHCND:AGM00060452,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060452,"H,,S,",21.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060452,",,S,",16.4
2020-05-01T00:00:00,PRCP,GHCND:AGM00060468,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060468,"H,,S,",16.9
2020-05-01T00:00:00,TMIN,GHCND:AGM00060468,",,S,",5.5
2020-05-01T00:00:00,PRCP,GHCND:AGM00060475,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060475,"H,,S,",17.8
2020-05-01T00:00:00,TMIN,GHCND:AGM00060475,",,S,",6.9
2020-05-01T00:00:00,PRCP,GHCND:AGM00060490,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060490,"H,,S,",19.8
2020-05-01T00:00:00,PRCP,GHCND:AGM00060507,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060507,"H,,S,",22.0
2020-05-01T00:00:00,TMIN,GHCND:AGM00060507,",,S,",7.6
2020-05-01T00:00:00,PRCP,GHCND:AGM00060511,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060511,"H,,S,",14.4
2020-05-01T00:00:00,TMIN,GHCND:AGM00060511,",,S,",5.5
2020-05-01T00:00:00,TAVG,GHCND:AGM00060514,"H,,S,",20.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060514,",,S,",9.1
2020-05-01T00:00:00,PRCP,GHCND:AGM00060515,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060515,"H,,S,",25.0
2020-05-01T00:00:00,TMIN,GHCND:AGM00060515,",,S,",16.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060518,"H,,S,",21.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060518,",,S,",16.2
2020-05-01T00:00:00,TAVG,GHCND:AGM00060520,"H,,S,",20.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060520,",,S,",7.4
2020-05-01T00:00:00,TAVG,GHCND:AGM00060522,"H,,S,",21.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060522,",,S,",9.9
2020-05-01T00:00:00,PRCP,GHCND:AGM00060531,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060531,"H,,S,",21.9
2020-05-01T00:00:00,TAVG,GHCND:AGM00060535,"H,,S,",18.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060535,",,S,",8.9
2020-05-01T00:00:00,TAVG,GHCND:AGM00060536,"H,,S,",20.7
2020-05-01T00:00:00,TMIN,GHCND:AGM00060536,",,S,",6.8
2020-05-01T00:00:00,TAVG,GHCND:AGM00060549,"H,,S,",21.2
2020-05-01T00:00:00,TMIN,GHCND:AGM00060549,",,S,",12.8
2020-05-01T00:00:00,PRCP,GHCND:AGM00060550,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060550,"H,,S,",20.9
2020-05-01T00:00:00,TMIN,GHCND:AGM00060550,",,S,",7.6
2020-05-01T00:00:00,PRCP,GHCND:AGM00060555,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060555,"H,,S,",25.4
2020-05-01T00:00:00,TMIN,GHCND:AGM00060555,",,S,",13.6
2020-05-01T00:00:00,TAVG,GHCND:AGM00060557,"H,,S,",22.1
2020-05-01T00:00:00,TMIN,GHCND:AGM00060557,",,S,",11.1
2020-05-01T00:00:00,TAVG,GHCND:AGM00060559,"H,,S,",25.7
2020-05-01T00:00:00,TMIN,GHCND:AGM00060559,",,S,",16.7
2020-05-01T00:00:00,PRCP,GHCND:AGM00060566,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060566,"H,,S,",26.4
2020-05-01T00:00:00,TMIN,GHCND:AGM00060566,",,S,",18.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060571,"H,,S,",25.8
2020-05-01T00:00:00,PRCP,GHCND:AGM00060580,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060580,"H,,S,",27.2
2020-05-01T00:00:00,TMIN,GHCND:AGM00060580,",,S,",16.5
2020-05-01T00:00:00,TAVG,GHCND:AGM00060581,"H,,S,",27.8
2020-05-01T00:00:00,TMIN,GHCND:AGM00060581,",,S,",17.7
2020-05-01T00:00:00,PRCP,GHCND:AGM00060602,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060602,"H,,S,",30.9
2020-05-01T00:00:00,TMIN,GHCND:AGM00060602,",,S,",24.4
2020-05-01T00:00:00,PRCP,GHCND:AGM00060603,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060603,"H,,S,",29.8
2020-05-01T00:00:00,TMIN,GHCND:AGM00060603,",,S,",20.7
2020-05-01T00:00:00,PRCP,GHCND:AGM00060607,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060607,"H,,S,",29.1
2020-05-01T00:00:00,TMIN,GHCND:AGM00060607,",,S,",23.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060620,"H,,S,",30.3
2020-05-01T00:00:00,TMIN,GHCND:AGM00060620,",,S,",25.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060640,"H,,S,",28.5
2020-05-01T00:00:00,TAVG,GHCND:AGM00060656,"H,,S,",26.8
2020-05-01T00:00:00,TMIN,GHCND:AGM00060656,",,S,",17.0
2020-05-01T00:00:00,TAVG,GHCND:AGM00060670,"H,,S,",29.4
2020-05-01T00:00:00,TMIN,GHCND:AGM00060670,",,S,",19.3
2020-05-01T00:00:00,TAVG,GHCND:AGM00060690,"H,,S,",38.5
2020-05-01T00:00:00,TMIN,GHCND:AGM00060690,",,S,",30.2
2020-05-01T00:00:00,PRCP,GHCND:AJ000037575,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037575,"H,,S,",18.1
2020-05-01T00:00:00,TMAX,GHCND:AJ000037575,",,S,",25.0
2020-05-01T00:00:00,TMIN,GHCND:AJ000037575,",,S,",11.4
2020-05-01T00:00:00,PRCP,GHCND:AJ000037675,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037675,"H,,S,",15.0
2020-05-01T00:00:00,TMAX,GHCND:AJ000037675,",,S,",21.4
2020-05-01T00:00:00,TMIN,GHCND:AJ000037675,",,S,",9.8
2020-05-01T00:00:00,PRCP,GHCND:AJ000037735,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037735,"H,,S,",17.4
2020-05-01T00:00:00,TMAX,GHCND:AJ000037735,",,S,",24.1
2020-05-01T00:00:00,TMIN,GHCND:AJ000037735,",,S,",11.1
2020-05-01T00:00:00,TAVG,GHCND:AJ000037747,"H,,S,",20.6
2020-05-01T00:00:00,PRCP,GHCND:AJ000037749,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037749,"H,,S,",17.4
2020-05-01T00:00:00,TMAX,GHCND:AJ000037749,",,S,",24.8
2020-05-01T00:00:00,TMIN,GHCND:AJ000037749,",,S,",10.7
2020-05-01T00:00:00,PRCP,GHCND:AJ000037756,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037756,"H,,S,",13.2
2020-05-01T00:00:00,TMAX,GHCND:AJ000037756,",,S,",20.8
2020-05-01T00:00:00,TMIN,GHCND:AJ000037756,",,S,",6.4
2020-05-01T00:00:00,PRCP,GHCND:AJ000037985,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AJ000037985,"H,,S,",16.1
2020-05-01T00:00:00,TMIN,GHCND:AJ000037985,",,S,",9.3
2020-05-01T00:00:00,TAVG,GHCND:ALM00013615,"H,,S,",16.6
2020-05-01T00:00:00,TMAX,GHCND:ALM00013615,",,S,",23.3
2020-05-01T00:00:00,TMIN,GHCND:ALM00013615,",,S,",9.5
2020-05-01T00:00:00,PRCP,GHCND:AM000037682,",,S,",1.3
2020-05-01T00:00:00,TAVG,GHCND:AM000037682,"H,,S,",6.8
2020-05-01T00:00:00,TMAX,GHCND:AM000037682,",,S,",13.3
2020-05-01T00:00:00,TMIN,GHCND:AM000037682,",,S,",1.4
2020-05-01T00:00:00,PRCP,GHCND:AM000037699,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037699,"H,,S,",7.7
2020-05-01T00:00:00,TMAX,GHCND:AM000037699,",,S,",14.5
2020-05-01T00:00:00,TMIN,GHCND:AM000037699,",,S,",1.6
2020-05-01T00:00:00,PRCP,GHCND:AM000037704,"B,,S,",1.5
2020-05-01T00:00:00,TAVG,GHCND:AM000037704,"H,,S,",11.3
2020-05-01T00:00:00,TMAX,GHCND:AM000037704,",,S,",18.2
2020-05-01T00:00:00,TMIN,GHCND:AM000037704,",,S,",3.8
2020-05-01T00:00:00,PRCP,GHCND:AM000037711,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037711,"H,,S,",14.4
2020-05-01T00:00:00,TMAX,GHCND:AM000037711,",,S,",21.0
2020-05-01T00:00:00,TMIN,GHCND:AM000037711,",,S,",9.3
2020-05-01T00:00:00,PRCP,GHCND:AM000037787,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037787,"H,,S,",12.8
2020-05-01T00:00:00,TMAX,GHCND:AM000037787,",,S,",22.5
2020-05-01T00:00:00,TMIN,GHCND:AM000037787,",,S,",8.0
2020-05-01T00:00:00,PRCP,GHCND:AM000037792,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037792,"H,,S,",8.1
2020-05-01T00:00:00,TMAX,GHCND:AM000037792,",,S,",16.0
2020-05-01T00:00:00,TMIN,GHCND:AM000037792,",,S,",1.5
2020-05-01T00:00:00,PRCP,GHCND:AM000037801,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037801,"H,,S,",7.2
2020-05-01T00:00:00,TMAX,GHCND:AM000037801,",,S,",15.5
2020-05-01T00:00:00,TMIN,GHCND:AM000037801,",,S,",-1.5
2020-05-01T00:00:00,PRCP,GHCND:AM000037897,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037897,"H,,S,",8.4
2020-05-01T00:00:00,TMAX,GHCND:AM000037897,",,S,",19.5
2020-05-01T00:00:00,TMIN,GHCND:AM000037897,",,S,",0.8
2020-05-01T00:00:00,PRCP,GHCND:AM000037959,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AM000037959,"H,,S,",13.8
2020-05-01T00:00:00,TMAX,GHCND:AM000037959,",,S,",23.1
2020-05-01T00:00:00,TMIN,GHCND:AM000037959,",,S,",6.8
2020-05-01T00:00:00,PRCP,GHCND:AMM00037717,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AMM00037717,"H,,S,",8.5
2020-05-01T00:00:00,TMAX,GHCND:AMM00037717,",,S,",15.4
2020-05-01T00:00:00,TMIN,GHCND:AMM00037717,",,S,",3.0
2020-05-01T00:00:00,TAVG,GHCND:AO000066160,"H,,S,",27.0
2020-05-01T00:00:00,TAVG,GHCND:AO000066390,"H,,S,",23.8
2020-05-01T00:00:00,PRCP,GHCND:AQC00914000,",,7,1000",16.8
2020-05-01T00:00:00,PRCP,GHCND:AQC00914141,",,7,",2.5
2020-05-01T00:00:00,PRCP,GHCND:AQC00914594,",,7,",8.1
2020-05-01T00:00:00,ADPT,GHCND:AQW00061705,",,W,",244.0
2020-05-01T00:00:00,ASLP,GHCND:AQW00061705,",,W,",10095.0
2020-05-01T00:00:00,ASTP,GHCND:AQW00061705,",,W,",10091.0
2020-05-01T00:00:00,AWBT,GHCND:AQW00061705,",,W,",250.0
2020-05-01T00:00:00,AWND,GHCND:AQW00061705,",,W,",1.4
2020-05-01T00:00:00,PRCP,GHCND:AQW00061705,",,W,2400",41.9
2020-05-01T00:00:00,RHAV,GHCND:AQW00061705,",,W,",88.0
2020-05-01T00:00:00,RHMN,GHCND:AQW00061705,",,W,",75.0
2020-05-01T00:00:00,RHMX,GHCND:AQW00061705,",,W,",93.0
2020-05-01T00:00:00,TAVG,GHCND:AQW00061705,"H,,S,",27.3
2020-05-01T00:00:00,TMAX,GHCND:AQW00061705,",,W,2400",30.9
2020-05-01T00:00:00,TMIN,GHCND:AQW00061705,",,W,2400",24.8
2020-05-01T00:00:00,WDF2,GHCND:AQW00061705,",,W,",120.0
2020-05-01T00:00:00,WSF2,GHCND:AQW00061705,",,W,",4.1
2020-05-01T00:00:00,TAVG,GHCND:AR000000011,"H,,S,",20.2
2020-05-01T00:00:00,TMIN,GHCND:AR000000011,",,S,",14.0
2020-05-01T00:00:00,TAVG,GHCND:AR000087007,"H,,S,",11.4
2020-05-01T00:00:00,TMAX,GHCND:AR000087007,",,S,",22.3
2020-05-01T00:00:00,TMIN,GHCND:AR000087007,",,S,",2.1
2020-05-01T00:00:00,TAVG,GHCND:AR000087078,"H,,S,",23.1
2020-05-01T00:00:00,TMAX,GHCND:AR000087078,",,S,",31.5
2020-05-01T00:00:00,TMIN,GHCND:AR000087078,",,S,",20.0
2020-05-01T00:00:00,TAVG,GHCND:AR000087129,"H,,S,",20.1
2020-05-01T00:00:00,TMIN,GHCND:AR000087129,",,S,",17.0
2020-05-01T00:00:00,PRCP,GHCND:AR000087155,",,S,",25.9
2020-05-01T00:00:00,TAVG,GHCND:AR000087155,"H,,S,",18.4
2020-05-01T00:00:00,TMAX,GHCND:AR000087155,",,S,",28.7
2020-05-01T00:00:00,TMIN,GHCND:AR000087155,",,S,",14.0
2020-05-01T00:00:00,TAVG,GHCND:AR000087217,"H,,S,",19.1
2020-05-01T00:00:00,TMIN,GHCND:AR000087217,",,S,",12.2
2020-05-01T00:00:00,TAVG,GHCND:AR000087257,"H,,S,",19.5
2020-05-01T00:00:00,TMIN,GHCND:AR000087257,",,S,",13.5
2020-05-01T00:00:00,PRCP,GHCND:AR000087270,",,S,",0.3
2020-05-01T00:00:00,TAVG,GHCND:AR000087270,"H,,S,",19.7
2020-05-01T00:00:00,TMAX,GHCND:AR000087270,",,S,",25.9
2020-05-01T00:00:00,TMIN,GHCND:AR000087270,",,S,",14.4
2020-05-01T00:00:00,TAVG,GHCND:AR000087344,"H,,S,",16.3
2020-05-01T00:00:00,TMIN,GHCND:AR000087344,",,S,",8.9
2020-05-01T00:00:00,TAVG,GHCND:AR000087374,"H,,S,",18.1
2020-05-01T00:00:00,TMIN,GHCND:AR000087374,",,S,",13.5
2020-05-01T00:00:00,TAVG,GHCND:AR000087418,"H,,S,",16.7
2020-05-01T00:00:00,TMAX,GHCND:AR000087418,",,S,",23.5
2020-05-01T00:00:00,TMIN,GHCND:AR000087418,",,S,",10.5
2020-05-01T00:00:00,TAVG,GHCND:AR000087534,"H,,S,",14.3
2020-05-01T00:00:00,TMAX,GHCND:AR000087534,",,S,",25.4
2020-05-01T00:00:00,TMIN,GHCND:AR000087534,",,S,",7.1
2020-05-01T00:00:00,TAVG,GHCND:AR000087623,"H,,S,",13.5
2020-05-01T00:00:00,TMAX,GHCND:AR000087623,",,S,",22.5
2020-05-01T00:00:00,TMIN,GHCND:AR000087623,",,S,",8.4
2020-05-01T00:00:00,TAVG,GHCND:AR000087692,"H,,S,",12.1
2020-05-01T00:00:00,TMAX,GHCND:AR000087692,",,S,",17.8
2020-05-01T00:00:00,TMIN,GHCND:AR000087692,",,S,",6.8
2020-05-01T00:00:00,TAVG,GHCND:AR000087715,"H,,S,",11.3
2020-05-01T00:00:00,TMAX,GHCND:AR000087715,",,S,",22.6
2020-05-01T00:00:00,TMIN,GHCND:AR000087715,",,S,",2.8
2020-05-01T00:00:00,PRCP,GHCND:AR000087803,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AR000087803,"H,,S,",6.6
2020-05-01T00:00:00,TMAX,GHCND:AR000087803,",,S,",14.4
2020-05-01T00:00:00,TMIN,GHCND:AR000087803,",,S,",0.5
2020-05-01T00:00:00,PRCP,GHCND:AR000087828,",,S,",0.5
2020-05-01T00:00:00,TAVG,GHCND:AR000087828,"H,,S,",9.9
2020-05-01T00:00:00,TMAX,GHCND:AR000087828,",,S,",17.0
2020-05-01T00:00:00,TMIN,GHCND:AR000087828,",,S,",2.9
2020-05-01T00:00:00,TAVG,GHCND:AR000087860,"H,,S,",10.7
2020-05-01T00:00:00,TMAX,GHCND:AR000087860,",,S,",16.3
2020-05-01T00:00:00,TMIN,GHCND:AR000087860,",,S,",7.0
2020-05-01T00:00:00,PRCP,GHCND:AR000087925,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:AR000087925,"H,,S,",6.2
2020-05-01T00:00:00,TMAX,GHCND:AR000087925,",,S,",14.2
2020-05-01T00:00:00,TMIN,GHCND:AR000087925,",,S,",-0.5
2020-05-01T00:00:00,TAVG,GHCND:AR000870470,"H,,S,",16.7
2020-05-01T00:00:00,TMIN,GHCND:AR000870470,",,S,",10.4
2020-05-01T00:00:00,TAVG,GHCND:AR000875440,"H,,S,",15.1
2020-05-01T00:00:00,TMAX,GHCND:AR000875440,",,S,",22.6
2020-05-01T00:00:00,TMIN,GHCND:AR000875440,",,S,",9.5
2020-05-01T00:00:00,TAVG,GHCND:AR000875850,"H,,S,",16.9
2020-05-01T00:00:00,TMAX,GHCND:AR000875850,",,S,",22.5
2020-05-01T00:00:00,TMIN,GHCND:AR000875850,",,S,",12.5
2020-05-01T00:00:00,PRCP,GHCND:AR000877500,",,S,",2.0
2020-05-01T00:00:00,TAVG,GHCND:AR000877500,"H,,S,",12.7
2020-05-01T00:00:00,TMIN,GHCND:AR000877500,",,S,",8.3
2020-05-01T00:00:00,PRCP,GHCND:ARM00087016,",,S,",1.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087016,"H,,S,",19.0
2020-05-01T00:00:00,TMAX,GHCND:ARM00087016,",,S,",20.6
2020-05-01T00:00:00,TMIN,GHCND:ARM00087016,",,S,",18.0
2020-05-01T00:00:00,PRCP,GHCND:ARM00087022,",,S,",0.5
2020-05-01T00:00:00,TAVG,GHCND:ARM00087022,"H,,S,",17.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087022,",,S,",19.5
2020-05-01T00:00:00,TMIN,GHCND:ARM00087022,",,S,",16.5
2020-05-01T00:00:00,PRCP,GHCND:ARM00087046,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087046,"H,,S,",17.4
2020-05-01T00:00:00,TMIN,GHCND:ARM00087046,",,S,",13.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087121,"H,,S,",18.6
2020-05-01T00:00:00,TMIN,GHCND:ARM00087121,",,S,",13.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087148,"H,,S,",18.3
2020-05-01T00:00:00,TMAX,GHCND:ARM00087148,",,S,",25.9
2020-05-01T00:00:00,PRCP,GHCND:ARM00087162,",,S,",1.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087162,"H,,S,",19.1
2020-05-01T00:00:00,TMAX,GHCND:ARM00087162,",,S,",32.3
2020-05-01T00:00:00,TMIN,GHCND:ARM00087162,",,S,",15.8
2020-05-01T00:00:00,PRCP,GHCND:ARM00087166,",,S,",10.9
2020-05-01T00:00:00,TAVG,GHCND:ARM00087166,"H,,S,",18.1
2020-05-01T00:00:00,TMAX,GHCND:ARM00087166,",,S,",27.7
2020-05-01T00:00:00,TAVG,GHCND:ARM00087178,"H,,S,",20.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087178,",,S,",30.1
2020-05-01T00:00:00,TAVG,GHCND:ARM00087222,"H,,S,",20.7
2020-05-01T00:00:00,TMAX,GHCND:ARM00087222,",,S,",28.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087222,",,S,",12.8
2020-05-01T00:00:00,TAVG,GHCND:ARM00087244,"H,,S,",17.8
2020-05-01T00:00:00,TMIN,GHCND:ARM00087244,",,S,",11.5
2020-05-01T00:00:00,PRCP,GHCND:ARM00087289,",,S,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ARM00087289,"H,,S,",20.0
2020-05-01T00:00:00,TMIN,GHCND:ARM00087289,",,S,",14.5
2020-05-01T00:00:00,TAVG,GHCND:ARM00087311,"H,,S,",17.3
2020-05-01T00:00:00,TMAX,GHCND:ARM00087311,",,S,",25.2
2020-05-01T00:00:00,TAVG,GHCND:ARM00087320,"H,,S,",20.6
2020-05-01T00:00:00,TMIN,GHCND:ARM00087320,",,S,",10.2
